,target,text
292,0,钱多了，友少了；车多了，路少了；娱多了，乐少了；说多了，做少了；假多了，真少了；城多了，村少了；虚多了，实少了；贪多了，廉少了；话多了，理少了；梦多了，觉少了；雾多了，雪少了；草多了，树少了；恨多了，爱少了；黑多了，白少了；暗多了，明少了；衣多了。穿少了。
1490,1,【恐怖的骗局】网友“happy张江”昨天发的一条关于骗局的微博，原文：看的我汗毛都竖起来了，现在还有点怕！！！转给身边的盆友并且一定认真读完，否则真遇到就来不急了！！！（转）[话筒]
1398,1,《静安，再见……》国务院将于近日正式批复上海市《关于撤消静安区建制将原静安区行政区域拆分划入长宁区和黄浦区的请示》，同意自2013年1月起撤消上海市静安区，以富民路--常德路为界线，其西面整体并入上海市长宁区；其东面整体并入... http://t.cn/zlVnZ9i   
421,0,[Airport] 121228 Gimpo airport fancam - cr:seungriya ~~~自动门桑太坏了老是欺负李胜贤...那被吓到的样子完全太可爱了哈哈哈哈哈哈哈哈哈 (明明是自己低着头不看路...笑的样子真是太呆萌了!) ~~~ http://t.cn/zjYQy5G
2604,0,为人要心底坦荡，不为虚名所累；做事要头脑清醒，不为假象所惑。智者，以别人惨痛的教训警示自己；愚者，用自己沉重的代价唤醒别人。对人多一份宽容，多一份爱心；对事多一份认真，多一份责任；对己多一点要求，多一点警醒。傲不可长，志不可满，乐不可极，警钟长鸣！
958,0,"常用中文俚语的英文翻译【更多看图】囧 embarrassed, awkward；大姨妈 aunt flo；宅人 homebody；菜鸟 noob；蹭饭的人 moocher；炒作 publicity stunt；吃老本 rest on one's laurels；吃错药了 get up on the wrong side of bed；扯平 even steven；牛 awesome；电灯泡 third wheel；切！- Whatever!"
817,0,中国不缺中国制造，中国缺中国创造；中国不缺历史，中国缺反思；中国不缺人才，中国缺想象力；中国不缺教育，中国缺童年；中国不缺“德”，中国缺“德行”；中国不缺“心眼”，中国缺大智慧；中国不缺知识，中国缺常识；中国不缺解释者，中国缺提问者；中国不缺刀柄，中国缺刀锋。值得深思！（新周刊）
1948,1,太可怕了，今年3.15又有17种“问题食品”曝光：1兰州拉面，2砂锅粥‘加料’致癌，3来伊份，4立顿茶，5太子了奶粉，6星巴克冰乐，7东北饺子参老鼠肉，8蛋黄派和榴莲酥，9蒙牛，10统一奶茶，11蛇果上蜡，12可乐，13费列巧克力有‘活蛀虫’，14烧烤，15人造鸡蛋，16绝育黄瓜，17果粒橙！这是在服毒吗？
2380,1,据爆料，给留几手、郑渊洁、何润东等每人10万元让他们在同一时间发微博黑苹果品牌的某公关公司受雇于三星。该公司相关人士此前和上述人士联系，询问是原创还是写好微博内容发给他们。留几手和郑渊洁都是玩笔头子的，但何润东这胸无点墨的坑爹货直接把私信内容中的发布时间也当成内容发出来了……（转）
3283,0,又是异乡的酒店，又是午夜时分，洗手间的帘子不知被谁拉起了一半，床下和外面的走廊都寂静无声，冥冥中不知有什么在房间半空漂浮……但今晚，这个房间的主角注定不是它们，哪个胆敢冒出头来，就要有觉悟承受一条熬夜写PPT的加班狗的怨气！
2277,0,有时候 失望到一定程度后 反而会开出一朵花来 那朵花的名字叫 无所谓
3256,0,#北京突发#【北京1人或中5.7亿 彩票出自三里屯】@头条新闻 ：今晚双色球出117注一等奖，每注奖金518万，其中北京1人或独揽110注，获得5.7亿！彩票出自三里屯南路18号105882号投注站，得主超越5.65亿成为中国第一人！http://t.cn/zWPAJ9n
3106,0,【晚安】世上没有一件工作不辛苦，没有一处人事不复杂。如果命中注定是打工，便打好它。别把青春葬送，你在家跷二郎腿，青春也一样葬送，光阴不会过得慢点。有些人是不必工作的，但那不是你，反正都要做了，何不快乐一点去做？——李碧华
1241,0,【端午节看《车手》就能得纪念T恤和精美画册啦！】只要你晒出观影日期为6月22日至24日的电影《车手》票根，前300名晒票根的每个ID都能得到《车手》纪念T恤一件！！前100名还能额外得到精美画册一本！还有！所有三天内晒票根的网友都有机会赢取10件明星签名T恤！快去看电影晒票根啦！记得@电影车手 哦！
1223,0,【小豬甩20磅紅館玩命】 亞洲舞王@羅志祥 明日起一連四日在香港紅館舉行個唱，他除激減廿多磅迎戰外，更表示正向紅館爭取「邊飛邊唱」玩命娛賓，據知該演唱會亦花費高達2600萬港元，實行拋銀彈會豬迷。報導連結: http://t.cn/zjDAnRm  
995,1,【芙蓉姐姐就这么走了】芙蓉姐姐于下午13点左右在家中自杀身亡，原因不明！@济南草根新闻 @草根功仔 @小豆豆往前走
2809,0,这张集合了一天24小时的球形全景图，是由摄影师克里斯在希腊雅典拍摄。同一张相片上，总共集合了500条星轨、35个太阳于以及25个不同地方的风景！摄影师Chris向大家解释了他是如何拍出这张令人惊叹的相片。
1342,0,【音乐·说说】现在全世界的比伯粉都在刷屏庆祝Justin Bieber新单#Heartbreaker#霸气占据iTunes榜首位！！！比伯取得如此销魂的战绩只花费了7个小时左右的时间。请用一句话表达你此刻的想法!!!http://t.cn/zRycYsa
1332,1,打假斗士@方舟子 因不满新浪微博未处理对其人身攻击的用户，宣布今日起停止在新浪微博的更新，如果方舟子能坚持99天不在新浪微博更新(即三个月)凡关注我并转发本条微博者，我将免费赠送每人一台Iphone5，即每个关注我并转发的人都有一台，绝无任何文字游戏。认证用户，公司保证，资金充足，绝不食言！
3174,0,#晚安#麦兜说：心情不好的时候，那就上厕所，上完之后，面部狰狞的对着马桶说：“你给我吃屎吧你！”然后猛冲厕所！冲完就睡觉啦，晚安！@生活百科
628,1,刚看到有人在微信传这条新闻！强烈求证！中国500強企业腾讯CE0、QQ之父、微信创始人马化腾与昨天下午在深圳人民医院因汹酒、过劳后引起心肌梗死去世，享年39岁，个人财产334.2亿人民币⋯生命没有第二次!@深大丁未 @深大就业 我在:http://t.cn/zYMiOxO
1366,0,#天声一队#周笔畅 李尚尚 朱家明《牵手》高清视频 http://t.cn/zOKDB0f
2818,0,据Goal.com报道称，鲁尼拒绝与曼联就新的续约合同展开谈判，他的经纪人保罗-斯特雷特福德打算借此迫使曼联放他转会。
352,0,【视频：苏醒深圳卫视跨年晚会后台采访】 http://t.cn/zjYQWp0  （分享自 @优酷网）虽然那啥 但还是听出Over the rainbow超好听了
451,0,【快来看！好强大的中秋福利[花心]】据@成都老茶客 称，这家成都的公司福利太凶悍了！中秋节国庆节给员工发IPhone5、三亚双飞6日游、现金、手表、包包等，都让员工不知如何选择了。（via：成都商报） 内已经牛干了。。。。[泪流满面]
1055,0,毛新宇 深情演唱新作《献给爷爷奶奶的歌》 http://t.cn/h1R0Rj
2927,0,#魔卡1分抢答大作战#6月19日问答题：图中被遮挡住的内容是什么？转发+评论，附上#角色名、服务器（1时空旅者 2精灵祭司 3森林女神 4金属巨龙 5荣耀巨人 6降临天使 7光明之龙 8血祭恶魔 9德玛西亚 10邪灵女巫 11背主之影）答案#15:01分之前回答正确的玩家，将送上奖励！每次每个ID只限参加一次！
1908,0,【北京检方：“我行贿了”等民间反腐网站不合法】针对日前窜红网络的“我行贿了”民间反腐网站，市检控申处处长罗守梁表示，这种网站形式不合法，全体公民应相信检察机关，与腐败作斗争必须在法制环境内进行，民间组织不能从事这样的活动。网站创业要“合法”，否则难逃被关厄运。
127,1,"这是日本人所发明的一种宠物养殖技术，叫盆景猫！他们给小猫喂食一种促进骨质软化的化学药物,然后强塞进瓶子里，等小猫长大，身体胀满瓶子..."
573,1,果然是小日本在搞鬼！
949,0,"【韩媒称《江南style》有科学成分 治疗精神患者】此歌近来成为全球追捧的热门歌曲.韩媒称,这首歌不仅凭借欢乐元素风靡全球,其内在更有“科学”成分:""它通过简单的重复节奏刺激身体反应和自律神经系统.用它对精神科患者进行音乐治疗后,他们轻松自在、开心大笑并晃动身体”...."" http://t.cn/zlcbU7T"
23,1,【袖珍小猴走红网络，高智慧宠物“不好养”】一只宠物猴的照片风靡网络。据了解，这种猴名为“石猴”，系国家唯一允许个人饲养的宠物猴，但必须在合法商贩处购买。但石猴并不易养，有网友表示：石猴性格太过活泼，“很皮，模仿力很高，有的时候会自己打开煤气阀门，拿着打火机玩，很危险！(转)[泪]
